///////////////////////////////////////////
//                                       //
//               High Card               //
//                                       //
///////////////////////////////////////////

8CB, 7HN, 2DN, 5HG, ASN
3DN, 7CN, 9SM, 10CN, KCN

///////////////////////////////////////////
//                                       //
//                Pair                  //
//                                       //
///////////////////////////////////////////

3HN, 3DN, 6CB, 9SM, 10HG
5PN, 5DN, 2CN, 8HG, KSM

///////////////////////////////////////////
//                                       //
//           Three of a Kind            //
//                                       //
///////////////////////////////////////////

9HN, 9DN, 9CN, 3FG, 2SM
7CP, 7HP, 7SP, QCN, 6DG

///////////////////////////////////////////
//                                       //
//               Straight               //
//                                       //
///////////////////////////////////////////

4HN, 5CN, 6DN, 7SM, 8FG
9HG, 10PN, JCN, QDN, KSM

///////////////////////////////////////////
//                                       //
//               Flush                  //
//                                       //
///////////////////////////////////////////

2DB, 6DG, 8DN, 9DN, QDN
3CH, 5CN, 7CM, 10CP, KCG

///////////////////////////////////////////
//                                       //
//             Full House               //
//                                       //
///////////////////////////////////////////

4HN, 4DN, 4CN, 6FG, 6SM
QPN, QDN, QCN, 2MG, 2FG

///////////////////////////////////////////
//                                       //
//            Four of a Kind            //
//                                       //
///////////////////////////////////////////

7HN, 7DN, 7CN, 7SM, 3FG
KPN, KDN, KCN, KFG, 6SM

///////////////////////////////////////////
//                                       //
//           Straight Flush             //
//                                       //
///////////////////////////////////////////

5DG, 6DP, 7DN, 8DF, 9DH
9CG, 10CP, JCN, QCF, KCH

///////////////////////////////////////////
//                                       //
//             Royal Flush              //
//                                       //
///////////////////////////////////////////

10DH, JDH, QDH, KDH, ADH
10CH, JCH, QCH, KCH, ACH
