///////////////////////////////////////////
//                                       //
//               High Card               //
//                                       //
///////////////////////////////////////////

8CB, 7HN, 2DN, 5HB, ASG
3DN, 7CM, 9SM, 10CN, KHB

///////////////////////////////////////////
//                                       //
//                Pair                  //
//                                       //
///////////////////////////////////////////

3HN, 3DN, 6CB, 9SM, 10FG
5BB, 5DB, 2CN, 8HB, KSM

///////////////////////////////////////////
//                                       //
//           Three of a Kind            //
//                                       //
///////////////////////////////////////////

9HN, 9DN, 9CN, 3FB, 2SM
7CB, 7HB, 7SB, QCN, 6DG

///////////////////////////////////////////
//                                       //
//               Straight               //
//                                       //
///////////////////////////////////////////

4HN, 5CN, 6DN, 7SM, 8FG
9HB, 10MB, JCN, QDN, KSM

///////////////////////////////////////////
//                                       //
//               Flush                  //
//                                       //
///////////////////////////////////////////

2DH, 6DG, 8DB, 9DM, QDN
3CH, 5CN, 7CM, 10CB, KCG

///////////////////////////////////////////
//                                       //
//             Full House               //
//                                       //
///////////////////////////////////////////

4HN, 4DN, 4CN, 6FB, 6SM
QBB, QDB, QCB, 2MG, 2FB

///////////////////////////////////////////
//                                       //
//            Four of a Kind            //
//                                       //
///////////////////////////////////////////

7HN, 7DN, 7CN, 7SM, 3FB
KBB, KDB, KCB, KFG, 6SM

///////////////////////////////////////////
//                                       //
//           Straight Flush             //
//                                       //
///////////////////////////////////////////

5DG, 6DB, 7DN, 8DM, 9DH
9CG, 10CB, JCN, QCB, KCH

///////////////////////////////////////////
//                                       //
//             Royal Flush              //
//                                       //
///////////////////////////////////////////

10DN, JDN, QDN, KDN, ADN
10CB, JCB, QCB, KCB, ACB

///////////////////////////////////////////
//                                       //
//             Five of a Kind           //
//                                       //
///////////////////////////////////////////

3HN, 3DN, 3SN, 3CN, 3HB
KHM, KHM, KHM, KHM, KHM

///////////////////////////////////////////
//                                       //
//              Flush House             //
//                                       //
///////////////////////////////////////////

4HB, 4HM, 4HN, 2HB, 2HM
QCB, QCM, QCN, 7CB, 7CG

///////////////////////////////////////////
//                                       //
//              Flush Five              //
//                                       //
///////////////////////////////////////////

6DN, 6DN, 6DN, 6DN, 6DN
JSM, JSM, JSM, JSM, JSM
